Data Source;Indicadores del desarrollo mundial;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;16/09/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
Aruba;ABW;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1087875.7;12264016.6;1300000;130502793.3;184748603.4;-36983240.22;-17932960.89;-73184357.54;-5530726.257;85027932.96;197821229.1;113463687.2;467541899.4;-127932960.9;-266927374.3;332513966.5;159776536.3;-105698324;-207798005.9;220316139.7;-471005586.6;18882681.56;-10614525.14;186759776.5;488156424.6;-314692737.4;226371388.8;250618095;-28775856.42;27551267.63;162463551.5;135921173.4;-75226540.68;164087639.7;;
#¡VALOR!;AFE;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;421709865.6;326490932.4;218888245.7;176559138.7;898515563.3;316834707.3;411261082.7;67103622.21;168439069.5;-12312370.24;483620276.5;372130053.3;581698643.4;86246455.02;598858245.3;106432296.3;411045300.7;279804684.3;536594623.8;400488555.9;88673056.81;1241968646;652324976.3;839509681.8;1187864680;2662958896;2087426790;5757027923;4121573935;6254803631;4315007316;12205013827;6464121933;8555149192;7979691821;10333884247;7234542920;16122284836;22483230617;18484265032;13934880641;17538712524;24636342686;21534249244;27681419157;28774229517;16632780788;10035440769;13591471906;14993516351;12511166562;;
Afghanistan;AFG;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;230000;450000;150000;270000;;;40000;-240000;;1200000;9000000;180000;100000;0;0;0;0;400000;0;0;10;-280000;360000;-20000;20000;-93326.6;690000;-1460000;-10000;6040000;170000;680000;50000000;57799999.9;186900000;271000000;238000000;188690000;46033740;56107246.5;190774432;52173421;56823660;48311346;42975262.5;169146608;93591315.3;51533896.77;119435105.7;23404553.65;12970147.98;;
#¡VALOR!;AFW;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;407459999.6;388679999.7;476659999;642409999.5;518269117.7;969105150.5;605378805.5;778790474.9;751399198.6;785673507.8;-228089204.8;1172896062;878530340.4;768217164.3;338951391;893620026.8;204429670.6;1037919132;973621876.7;2569136448;1073307824;837652709.3;1214631404;1757936796;2389930551;945428066.2;1182474450;1622432325;1897977339;2391058452;2560094805;3224338688;4408519415;5262166818;4653748700;9278129442;9202356526;13030657207;16317443290;18159745851;18874323023;24501138032;20912687292;19157553412;16598028197;15643172769;13937041742;17662420840;15492052448;12378736010;10851115144;;
Angola;AGO;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;2399999.9;1860000;2160000;7540000;6690000;50000;-1169999.9;;1870000;2000000;37420000;49049999.9;115810000;104330000;67140000;278000000;234000000;119000000;131000000;200000000;-334800000;664500000;287956000;302100000;170300000;472427000;180559000;411660000;1113970000;2471460000;878620000;2145470000;1743504000;3576971780;2197227820;-1303836930;-37714860;-893342152;1678971010;2205298180;-3227211182;-3023770966;-1464627991;-7120017424;3657514667;10028215163;-179517618.9;-7397295409;-6456076413;-4098478748;-1866468113;;
Albania;ALB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;20000000;58000000;53000000;70000000;90100000;47500000;45010000;41200000;143000000;207300000;135000000;178036400.7;341285112.5;262479012.6;325138316.8;652275603.7;1247181714;1345415234;1089898208;1048706682;917994575.8;1254150556;1149927986;989578334.8;1044389555;1022757857;1204383364;1201022154;1069744880;;
Andorra;AND;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Arab world;ARB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;489809999.8;47852734.62;267977643.7;-691490283.8;-3399182607;1474964060;406538235.2;924430386.8;638527390.9;-137420541.9;-3211683186;7107307475;11797986204;5637820866;6253971511;2022484766;2333917876;12216556.79;1628746427;1312830828;3053835682;2123621591;3477597029;4331542878;4909888144;299885485.9;3662695409;8973444817;9641399373;2881569839;3840491004;8899597181;6159576371;14595559434;21373075475;46048851171;69481323910;81836608644;88751312330;76654497098;70001315696;44868032639;50079903886;41259115295;31042743760;25507493631;32582348458;30063429264;33766670547;38979383400;37986885537;;
United Arab Emirates;ARE;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;7780000;6940000;10510000;3410000;1629999.9;15949999.9;49430000;112239999.9;39119999.9;64579999.9;97640000;-16940000;95060000;45539999.9;170240000;-220960000;110209999.9;46719999.9;188889999.9;38789999.9;-115819999.9;25940000;129720000;401319999.9;62460000;399850000;300519999.9;232430000;257660000;-985340000;-506329999.9;1183840000;95299999.9;4255956433;10003500000;10899931926;12805990470;14186521443;5062972005;1134288135;8796769641;7152095826;9566651351;9764914527;11071537020;8550901847;9604773000;10354223000;10385286000;17874659401;19884468665;;
Argentina;ARG;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;89769999.9;125670000;71719999.9;100250000;17920000;55590000;244680000;144000000;250000000;206000000;678000000;837000000;227000000;185000000;268000000;919000000;574000000;-19000000;1147000000;1028000000;1836000000;2439000000;4430977523;2793085410;3634931878;5609423404;6948536687;9160272052;7290657132;23987696390;10418314339;2166136830;2148910000;1652010000;4124710000;5265250000;5537347786;6473157762;9725553130;4017158925;11332718626;10839930945;15323933917;9821661858;5065335542;11758994011;3260164342;11516861462;11716769819;6649187838;4722648813;;
Armenia;ARM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2399999.9;800000;8000000;25320000;17570000;51940000;232375000;122034000;104188500;69868500;110725325.6;122852992.7;247140608.5;292073220.2;466531991.9;667671562.1;943733059.5;760040745.9;529321391.6;653219756.5;496636701.1;346092394.4;406578406.7;184127986.3;333823945.5;252747990.7;266855048.8;100287214.4;58582750.12;;
American Samoa;ASM;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Old and bearded;ATG;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;2200000;-6900000;8500000;19600000;22400000;23000000;5000000;4400000;15600000;22600000;38596296.3;32951851.85;43107407.41;60607407.41;54792592.59;19648148.15;15240740.74;24788888.89;31485185.19;19351851.85;22944444.44;22774074.07;51792533.33;43115925.93;98452222.22;65865064.81;166321143.7;80366585.19;220963374.1;358820163.7;338204733.3;158783774.4;80646652.59;96679207.78;65160596.3;129367138.9;134288999.6;46263101.05;114024660.1;97431976.47;151271628.2;204844928.2;127763174.8;73527540.32;;
Australia;AUS;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;893138535.5;1155158059;1054014675;135039666.1;1327729912;449028697.2;1047313647;1141019599;1676855615;1489983133;1866223965;2346546543;2286321730;2990964045;428250491.4;2098624894;5369760089;5190522203;8476377245;8023170407;8457776860;2612066526;4941906672;5312435142;4458484244;13268875155;4563952446;8088068983;7597610928;2210917992;14892978180;10717133151;14656321801;8985246030;42907672820;-25093141435;30551100657;44440090038;45160024271;28683266148;35210733743;65554890650;57550426823;54465480055;63202728079;46892808568;42969505135;48198614235;61324623203;39101199005;18700681395;;
Austria;AUT;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;112650000;142729999.9;145400000;160759999.9;177050000;79109999.9;91230000;96810000;142389999.9;187430000;239300000;327519999.9;207919999.9;216120000;115239999.9;169167935.4;183400907.8;395491398;445427083.5;581979789.4;653000000;360000000;1485517753;1125106122;2075823594;1825090253;4323513092;2668974816;4571855707;2974499988;8501013451;5689434546;138346430.8;6195021861;3183649650;81096089418;10500457158;68865787583;6301143682;14300064389;-22007325156;22983942932;5218620113;451107665.2;1712175274;-7975773544;-28939340169;13518864836;-28605757320;-13120994313;-18214727039;;
Azerbaijan;AZE;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;22000000;330050000;627277000;1114838000;1022967000;510317000;129937000;819579000;2024577000;4007330000;4719107000;4476396000;4485966000;4594234000;3986807000;2900030000;3352997000;4485120000;5293250000;2619437000;4430466000;4047630000;4499666000;2867487000;1402998000;1503918000;507151800;;
Burundi;BDI;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;100000;;410000;440000;220000;320000;80000;-250000;890000;-300000;4599999.9;11080000;900000;3040000;1189999.9;538566.543;1524028.632;1367714.123;1196623.811;567226.8908;1255434.743;892500.1067;600088.333;473679.8748;3957.848909;1981922.465;0;0;0;-475191.3053;11683246.08;-11440.9127;0;0;44690.7076;584701.6926;31593.77819;500245.0931;3833208.348;348404.5346;780582.0036;3354999.181;604919.6515;116727136.5;81747197.23;49622865.77;55420.35666;316473.4494;983747.125;1044957.415;8473943.201;;
Belgium;BEL;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;314000000;428000000;386000000;719000000;1137000000;954600000;871789999.9;1274930000;1435800000;1130080000;1544780000;1386450000;1472180000;1289700000;389370000;1051490000;729860000;2354920000;5212470000;7020270000;8046730000;9362560000;11285800000;10750000000;8513580000;10688700000;14063900000;11998300000;22690500000;1.20E+11;88738714000;88203254000;18118954671;34559267490;44498165771;33662010794;58821552824;96551634531;1.90E+11;77354509260;1.25E+11;1.64E+11;11810272331;-29640924980;-15205871358;-19514245855;57538351507;-37288840312;-41601387267;-30075472853;-17570640274;;
Benin;BEN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;6700000;2799999.9;4799999.9;3500000;-2343120.329;1889760.249;2452390.826;3126021.572;753359.5619;3568043.123;4316555.846;2090299.061;-12172.62291;10496.86832;11442.7823;-90000;1100000;100000;-21662039.9;-1118466.198;-2954844.091;393822.3295;954317.4336;-21635980.33;-7107468.706;-7738379.607;-14661253.78;12183267.34;11294143.5;9314781.877;-12794843.61;16739539.34;-19395622.7;10638088.26;-40774605.06;-8788860.127;-12363482.36;139189943;48210757.85;-18807407.38;53507087.74;161302390.8;281548556.3;360343380.3;405737369.1;149755663.3;131790853.8;200902719.3;194073683.2;218207871.7;174019952.1;;
Burkina Faso;BFA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;400000;1000000;-700000;4400000;2669999.9;300000;2049999.9;4969999.9;1159999.9;1490000;20000;2430000;1950000;1980000;1669999.9;-1429999.9;3140000;1330000;3710000;5669999.9;460000;570000;3113052.1;3178381.3;18371592.4;9816727.7;16225134.4;9765809;4407138.2;7925950.83;23107520.48;6267060.825;15026083.66;29122505.16;14348315.78;52130040.88;83849256.07;21711800.9;33190579.88;56653992.33;38870701.36;143845512.3;329281976;490403410.5;357296974.3;231901703.7;390622353.4;2572690.322;268414907.9;162970140.3;-98777856.01;;
Bangladesh;BGD;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;90000;2339999.9;2200000;1543333.3;5419999.9;6980000;7700000;-8009999.9;8509999.9;5360000;6960000;403978.5575;-553269.3983;-6660000;2436499.344;3205086.762;1838242.499;247908.2739;3238781.189;1390444.322;3721853.382;14049886.52;11147788.33;1896372.127;13529831.54;139376153.1;190059373;179603006.3;280384629.7;78527040.08;52304931.04;268285231.8;448905400.7;813321971.9;456523167.7;651029738.1;1328422987;901286583.1;1232258247;1264725163;1584403460;2602962095;2539190940;2831152765;2332724781;1810395804;2421626238;1908045387;1525312160;;
Bulgaria;BGR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;4000000;55900000;41500000;40000000;105400000;90400000;109000000;504800000;537317256.2;818788154.9;1001503842;812942202;904659791.1;2096788700;3072550962;4098122931;7874476255;13875270457;10296720634;3896664559;1842900000;2103810000;1788110000;1989040000;1093600000;2221390000;1488430000;2007290000;1809860000;2221250000;3624510000;;
Bahrain;BHR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;3399999.9;110000;1320000;3210000;650000;22970508.34;145171539.9;-418036875;4150000;28457446.88;64095744.85;140691489.5;101329787.2;-31914893.62;-35904255.32;222074468.1;180851063.8;91755319.15;619414893.6;868617021.3;-275000007.9;208244700.2;430586743.7;2048151880;329284164.2;179454413.3;453737838;363562321.9;80358858.37;216986881.6;516700276.4;865308118.6;1048601306;2914659868;1756312515;1793998355;257149561.4;155771009.2;780851063.8;1544680851;3727712766;1518617021;64893617.02;243351063.8;518882978.7;111170212.8;1501329787;1021276596;;
Bahamas;BHS;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;80319999.9;54659999.9;90430000;102250000;143440000;17579999.9;14600000;31400000;-1100000;9600000;4100000;34400000;2800000;-6000000;-4900000;-30200000;-13200000;10800000;36700000;25400000;-17000000;-1300000;300000;27300000;23600000;106900000;87800000;210000000;146900000;149300000;250250000;102370000;152790000;190200000;273600000;563414700;706380000;713350000;860156197;663960000;871970000;666621000;526171000;382252000;251277428.8;76075924.75;390400036.4;304587573.1;491404689.2;482229306.4;434599799.8;;
Bosnia and Herzegovina;BIH;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66736468.36;176780594.8;146075610.9;118495219.8;267769569;381784637.4;889597294.5;623812851.6;845962876.4;1841972230;1004852660;138511019.7;443840207.1;471610992.2;391976946.4;313295008.3;544866345.5;383089615.7;313198153.4;509429047.9;601783317.1;447875544.6;433013741.9;;
Belarus;BLR;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7000000;17600000;10500000;14700000;104500000;351600000;203200000;444000000;118800000;95800000;247100000;171800000;163800000;306600000;357100000;1807300000;2187900000;1876500000;1393400000;4002400000;1463600000;2246100000;1862000000;1652300000;1246900000;1276300000;1426500000;1273300000;1391600000;;
Belize;BLZ;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;7089999.9;3339999.9;;;;;;;2000000;-50000;;-2000000;;;-3700000;3700000;4600000;6850000;14000000;18650000;17200000;13600000;15600000;9200000;15369500;21050000;16580000;11955000;17650000;58671500;29564651.92;61174888.87;25461176.88;-10924755.75;111496166.4;126908465.9;108828544.6;140373737.3;169668449.5;108840086.4;96449877.08;95348525.19;194201408.8;92247730.94;141097030.3;59119223.9;32733410.99;31831615.5;122041647;93910241.7;76202813.5;;
Bermuda;BMU;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34700000;102700000;60500000;66900000;41799999.9;5400000;12900000;831600000;43700000;-88170000;617153591.8;171529641.6;-70747817.17;222710475.9;-257865988.6;47614095.07;54904045.83;-3425440.524;-143094386.1;-73213793.63;-288109271;95416371.5;4389826.5;476518083.8;;
Bolivia;BOL;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;19763999.9;1899999.9;16204999.9;4599999.9;44233000;61596999.9;-8100000;-1200000;11500000;35000000;47000000;75700000;31100000;7000000;7000000;10000000;10000000;38100000;-10100000;-24400000;27200000;52000000;93100000;123800000;130200000;392700000;474100000;730600000;949300000;1010500000;736350000;705756000;676543000;197400000;65430000;-238620000;280763457;366294241.5;512335605.2;423040000;621997989.5;858941070.4;1059965391;1749612614;656566350.8;554643532.3;335365530.4;712474137.8;302368781.4;-216636843.1;-1129487271;;
Brazil;BRA;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;391699999.9;449000000;459899999.9;1180700000;1207900000;1302000000;1555000000;1833000000;2006000000;2419000000;1911000000;2520000000;2910000000;1609000000;1594000000;1441000000;345000000;1169000000;2804000000;1131000000;989000000;1103000000;2061000000;1292000000;3072000000;4859000000;12552000000;18992934311;28855609916;28385675615;32994718700;23225846372;16586600193;10123013671;18161380460;15459981604;19418085598;44579492464;50716402711;31480931700;82389932468;1.02E+11;92568388321;75211029129;87713983217;64738153494;74294627801;68885491315;78162724370;69174411753;37786286307;;
Barbados;BRB;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;10868499.99;15656171.64;19139837.19;5630300.31;2397684.534;4489152.483;6897500;4914000;8987000;30305500;29300000;37300000;35150000;16150000;36000000;4850000;7750000;7100000;25979409.31;8682963.92;11213282.8;7424921.25;14450000;9402113.87;12950000;63803750.15;15836484.06;28203499.05;29160482.23;47539505.12;73696943.91;91504910.94;228343253.8;184701288.6;228334500;390061395.9;342267498.2;476404577;615122884.6;356008255.1;425337312.6;459552936.4;528045664.5;104089451.2;753687476.1;688525943.3;557500316;91481933.17;241596499.9;215370128.6;262100000;;
Brunei;BRN;Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales);BX.KLT.DINV.CD.WD;;;;;;;;;;;85530000;-17550000;-3779999.9;290000;2080000;850000;-30890000;-3290000;4570000;350000;-19570000;-11109999.9;6210000;3620000;800000;3669999.9;-6049999.9;-70000;460000;10000000;7000000;5000000;7000000;8000000;5889999.9;582760563.3;653600000;701740000;573250000;747868668.6;549607250.7;60694643.66;229671955.7;123820911.1;113205867;175068516.6;87839128.31;257635717.5;222184549.5;325586827.8;480722547;691170274.4;864905527.5;775641999.1;573906207.8;171289167.8;-150550827.3;467927550.3;516202620.6;373256767.2;565542275.4;;
